stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
136,17,"Route 17 Station","MLRT17",41.07513,-74.145485,3149,,,,,
167,23,"Route 23","MCRTE23",40.900799,-74.256603,2381,,,,,
142,RF,"Rutherford","BCRTHFD",40.828248,-74.100563,845,,,,,
143,CW,"Salisbury Mills","STSLMLC",41.437073,-74.101871,5453,,,,,
144,TS,"Secaucus Junction","MLALLED",40.761188,-74.075821,333,,,,,
145,SE,"Secaucus Station","SECAUC",40.761188,-74.075821,329,,,,,
146,RT,"Short Hills","MESHRTH",40.725249,-74.323754,1869,,,,,
147,XG,"Sloatsburg","STSLTBGZ",41.157138,-74.191307,3917,,,,,
148,SM,"Somerville","RVSOMVL",40.566075,-74.61397,4429,,,,,
149,CH,"South Amboy","NCSAMBY",40.484308,-74.28014,3405,,,,,
150,SO,"South Orange","MESRANG",40.744538,-74.261564,1357,,,,,
151,LA,"Spring Lake","NCSPRLK",40.150557,-74.035481,5709,,,,,
152,SV,"Spring Valley","PVSPVY",41.111978,-74.043991,4941,,,,,
153,SG,"Stirling","GSSTRLGZ",40.674581,-74.493723,3661,,,,,
154,SF,"Suffern","MLSUFRNZ",41.11354,-74.153442,3661,,,,,
155,ST,"Summit","MESUMMT",40.716549,-74.357807,2381,,,,,
156,TE,"Teterboro","PVTETRB",40.864858,-74.062676,1101,,,,,
157,TO,"Towaco","BLTWACO",40.922809,-74.343842,2893,,,,,
158,TR,"Trenton Station","TRE",40.218515,-74.753926,5709,,,,,
159,TC,"Tuxedo","STTUXDO",41.194208,-74.18446,3917,,,,,
160,US,"Union Station","LVUNTWP",40.683663,-74.238605,1357,,,,,
161,UM,"Upper Montclair","BLUPMCR",40.842004,-74.209368,1357,,,,,
162,WK,"Waldwick","MLWLDWK",41.012734,-74.123412,2637,,,,,
163,WA,"Walnut Street (Montclair)","BLWALST",40.817218,-74.20963,1357,,,,,
164,WS,"Washington","WAS",38.897095,-77.006332,,,,,,
165,WG,"Watchung Avenue","BLWCGAV",40.829516,-74.206934,1357,,,,,
166,WT,"Watsessing Avenue (Bloomfield)","MCWTSIN",40.782743,-74.198451,1101,,,,,
168,WM,"Wesmont","BC_WSMNT",40.854979,-74.096951,1101,,,,,
169,WF,"Westfield","RVWFELD",40.649448,-74.347629,2125,,,,,
170,WW,"Westwood","PVWSTWD",40.990817,-74.032696,2381,,,,,
171,WH,"White House","RVWHTHS",40.615613,-74.77066,4941,,,,,
172,WI,"Wilmington","WIL",39.7372,-75.5513,,,,,,
176,WR,"Wood-Ridge","PVWDRDG",40.843974,-74.078719,845,,,,,
174,WB,"Woodbridge","NCWDBRG",40.55661,-74.277754,2637,,,,,
175,WL,"Woodcliff Lake","PVWDCLF",41.021078,-74.040775,2637,,,,,
